Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.113997263908386,15.99375,1.8772924591700235,27.183333333333334,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_1.pth
2,1.7057672974268596,28.18125,1.6354782740275065,28.675,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_2.pth
3,1.584358546257019,31.925,1.5716021423339843,36.275,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_3.pth
4,1.5270439618428548,35.53333333333333,1.5344470752080281,35.34166666666667,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_4.pth
5,1.477808564821879,38.53541666666667,1.4925948133468627,38.075,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_5.pth
6,1.438194928487142,40.083333333333336,1.447055022875468,38.833333333333336,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_6.pth
7,1.3971286401748657,40.416666666666664,1.4185670420328775,38.99166666666667,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_7.pth
8,1.3678812449773152,41.02291666666667,1.4013947127660116,39.50833333333333,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_8.pth
9,1.3466399097442627,41.88333333333333,1.4109825309117634,39.03333333333333,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_9.pth
10,1.3272203830083211,42.71041666666667,1.3817370271682738,43.06666666666667,128,0.004,results/run_20250522_131854/model_parameters/model_epoch_10.pth
