Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.0776494188308714,20.597916666666666,1.9513581088383993,29.341666666666665,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_1.pth
2,1.6783819961547852,33.17916666666667,1.6104515466690064,35.266666666666666,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_2.pth
3,1.551388059616089,37.97291666666667,1.5252130943934123,39.175,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_3.pth
4,1.4848995904922486,40.16041666666667,1.4821169945398966,40.15833333333333,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_4.pth
5,1.439405915896098,41.83125,1.4564089822769164,44.208333333333336,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_5.pth
6,1.408430791536967,42.00833333333333,1.4279857416152955,43.45,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_6.pth
7,1.3788420565923054,42.31666666666667,1.4206290524800618,42.083333333333336,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_7.pth
8,1.3541700280507405,42.604166666666664,1.4374376331965129,41.766666666666666,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_8.pth
9,1.331983601252238,43.6625,1.4128468497594198,44.90833333333333,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_9.pth
10,1.3086322498321534,45.28125,1.4041180051167805,43.94166666666667,128,0.004,results/run_20250522_165513/model_parameters/model_epoch_10.pth
