Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.0637737789154054,17.802083333333332,1.8527203483581542,28.916666666666668,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_1.pth
2,1.703897118886312,29.783333333333335,1.6287656440734863,35.483333333333334,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_2.pth
3,1.5688637116750082,35.641666666666666,1.533398060798645,38.00833333333333,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_3.pth
4,1.5022304588953654,38.18125,1.5048843952814739,38.225,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_4.pth
5,1.4611846090952556,39.5,1.469492334683736,41.25,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_5.pth
6,1.432324226061503,40.09166666666667,1.446960791269938,38.49166666666667,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_6.pth
7,1.4070091606775919,41.36666666666667,1.4333297513326009,40.983333333333334,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_7.pth
8,1.389118280728658,41.697916666666664,1.463668409983317,38.608333333333334,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_8.pth
9,1.3746035795211793,42.45,1.3993416477839151,42.95,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_9.pth
10,1.360266980489095,43.13333333333333,1.3850069897969564,44.05833333333333,128,0.004,results/run_20250522_124720/model_parameters/model_epoch_10.pth
